Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_53,VGND,li1,30.5900,38.0800,0.000015
FILLER_9_27,VGND,li1,18.1700,38.0800,0.000015
FILLER_9_15,VGND,li1,15.1800,38.0800,0.000015
FILLER_9_3,VGND,li1,9.6600,38.0800,0.000015
FILLER_8_56,VGND,li1,31.5100,32.6400,0.000003
FILLER_8_43,VGND,li1,25.5300,32.6400,0.000003
FILLER_8_32,VGND,li1,20.4700,32.6400,0.000004
FILLER_8_25,VGND,li1,17.7100,32.6400,0.000005
FILLER_8_11,VGND,li1,11.9600,32.6400,0.000007
FILLER_8_3,VGND,li1,7.1300,32.6400,0.000007
FILLER_7_35,VGND,li1,21.8500,32.6400,0.000004
FILLER_6_55,VGND,li1,31.2800,27.2000,0.000021
FILLER_6_29,VGND,li1,19.0900,27.2000,0.000034
FILLER_6_27,VGND,li1,18.1700,27.2000,0.000034
FILLER_5_41,VGND,li1,24.6100,27.2000,0.000021
FILLER_5_12,VGND,li1,11.2700,27.2000,0.000035
FILLER_5_3,VGND,li1,8.2800,27.2000,0.000035
FILLER_4_48,VGND,li1,27.8300,21.7600,0.000003
FILLER_4_7,VGND,li1,8.9700,21.7600,0.000006
FILLER_3_54,VGND,li1,30.8200,21.7600,0.000003
FILLER_3_3,VGND,li1,7.1300,21.7600,0.000006
FILLER_2_29,VGND,li1,19.0900,16.3200,0.000011
FILLER_2_3,VGND,li1,7.1300,16.3200,0.000013
FILLER_1_55,VGND,li1,31.0500,16.3200,0.000010
FILLER_1_18,VGND,li1,14.0300,16.3200,0.000012
FILLER_1_3,VGND,li1,9.6600,16.3200,0.000013
FILLER_0_23,VGND,li1,16.5600,10.8800,0.000015
FILLER_0_15,VGND,li1,14.2600,10.8800,0.000015
FILLER_0_3,VGND,li1,9.6600,10.8800,0.000015
hold9,VGND,li1,14.7200,21.7600,0.000006
hold8,VGND,li1,19.7800,32.6400,0.000004
hold7,VGND,li1,24.8400,21.7600,0.000003
hold6,VGND,li1,29.9000,21.7600,0.000003
hold5,VGND,li1,29.4400,27.2000,0.000021
hold4,VGND,li1,15.1800,32.6400,0.000006
