Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_9_53,VPWR,li1,30.5900,35.3600,1.799982
FILLER_9_27,VPWR,li1,18.1700,35.3600,1.799985
FILLER_9_15,VPWR,li1,15.1800,35.3600,1.799985
FILLER_9_3,VPWR,li1,9.6600,35.3600,1.799985
FILLER_8_56,VPWR,li1,31.5100,35.3600,1.799982
FILLER_8_43,VPWR,li1,25.5300,35.3600,1.799982
FILLER_8_32,VPWR,li1,20.4700,35.3600,1.799985
FILLER_8_25,VPWR,li1,17.7100,35.3600,1.799985
FILLER_8_11,VPWR,li1,11.9600,35.3600,1.799985
FILLER_8_3,VPWR,li1,7.1300,35.3600,1.799985
FILLER_7_35,VPWR,li1,21.8500,29.9200,1.799991
FILLER_6_55,VPWR,li1,31.2800,29.9200,1.799988
FILLER_6_29,VPWR,li1,19.0900,29.9200,1.799990
FILLER_6_27,VPWR,li1,18.1700,29.9200,1.799990
FILLER_5_41,VPWR,li1,24.6100,24.4800,1.799982
FILLER_5_12,VPWR,li1,11.2700,24.4800,1.799977
FILLER_5_3,VPWR,li1,8.2800,24.4800,1.799977
FILLER_4_48,VPWR,li1,27.8300,24.4800,1.799982
FILLER_4_7,VPWR,li1,8.9700,24.4800,1.799977
FILLER_3_54,VPWR,li1,30.8200,19.0400,1.799990
FILLER_3_3,VPWR,li1,7.1300,19.0400,1.799987
FILLER_2_29,VPWR,li1,19.0900,19.0400,1.799988
FILLER_2_3,VPWR,li1,7.1300,19.0400,1.799987
FILLER_1_55,VPWR,li1,31.0500,13.6000,1.799976
FILLER_1_18,VPWR,li1,14.0300,13.6000,1.799981
FILLER_1_3,VPWR,li1,9.6600,13.6000,1.799981
FILLER_0_23,VPWR,li1,16.5600,13.6000,1.799981
FILLER_0_15,VPWR,li1,14.2600,13.6000,1.799981
FILLER_0_3,VPWR,li1,9.6600,13.6000,1.799981
hold9,VPWR,li1,14.7200,24.4800,1.799977
hold8,VPWR,li1,19.7800,29.9200,1.799990
hold7,VPWR,li1,24.8400,19.0400,1.799990
hold6,VPWR,li1,29.9000,24.4800,1.799982
hold5,VPWR,li1,29.4400,24.4800,1.799982
hold4,VPWR,li1,15.1800,35.3600,1.799985
hold3,VPWR,li1,28.5200,19.0400,1.799990
hold2,VPWR,li1,23.0000,24.4800,1.799982
hold1,VPWR,li1,29.4400,35.3600,1.799982
clkbuf_1_1__f_clk,VPWR,li1,23.4600,35.3600,1.799982
clkbuf_1_0__f_clk,VPWR,li1,23.4600,13.6000,1.799977
clkbuf_0_clk,VPWR,li1,19.7800,24.4800,1.799978
output9,VPWR,li1,26.6800,35.3600,1.799982
output8,VPWR,li1,28.9800,35.3600,1.799982
output7,VPWR,li1,7.8200,29.9200,1.799989
output6,VPWR,li1,7.8200,29.9200,1.799989
output5,VPWR,li1,7.8200,24.4800,1.799977
output4,VPWR,li1,12.8800,19.0400,1.799987
output3,VPWR,li1,17.4800,19.0400,1.799988
output2,VPWR,li1,20.7000,13.6000,1.799982
input1,VPWR,li1,26.2200,24.4800,1.799982
TAP_TAPCELL_ROW_9_31,VPWR,li1,31.5100,35.6660,1.799982
TAP_TAPCELL_ROW_9_30,VPWR,li1,18.6300,35.6660,1.799985
TAP_TAPCELL_ROW_8_29,VPWR,li1,18.6300,35.0530,1.799985
TAP_TAPCELL_ROW_7_28,VPWR,li1,31.5100,30.2260,1.799988
TAP_TAPCELL_ROW_6_27,VPWR,li1,18.6300,29.6130,1.799990
TAP_TAPCELL_ROW_5_26,VPWR,li1,31.5100,24.7860,1.799982
TAP_TAPCELL_ROW_4_25,VPWR,li1,18.6300,24.1730,1.799977
TAP_TAPCELL_ROW_3_24,VPWR,li1,31.5100,19.3460,1.799990
TAP_TAPCELL_ROW_2_23,VPWR,li1,18.6300,18.7330,1.799988
TAP_TAPCELL_ROW_1_22,VPWR,li1,31.5100,13.9060,1.799976
TAP_TAPCELL_ROW_0_21,VPWR,li1,31.5100,13.2930,1.799976
TAP_TAPCELL_ROW_0_20,VPWR,li1,18.6300,13.2930,1.799982
PHY_EDGE_ROW_9_Left_19,VPWR,li1,6.2100,35.3600,1.799985
PHY_EDGE_ROW_8_Left_18,VPWR,li1,6.2100,35.3600,1.799985
PHY_EDGE_ROW_7_Left_17,VPWR,li1,6.2100,29.9200,1.799989
PHY_EDGE_ROW_6_Left_16,VPWR,li1,6.2100,29.9200,1.799989
